"year","state","state_po","county_name","county_fips","totalvotes","candidate","party","all_votes","pct_votes","candidate_rank"
2000,"GEORGIA","GA","EMANUEL",13107,6263,"GEORGE W. BUSH","REPUBLICAN",3343,"53.4",1
2000,"GEORGIA","GA","EVANS",13109,3080,"GEORGE W. BUSH","REPUBLICAN",1841,"59.8",1
2000,"GEORGIA","GA","FANNIN",13111,8390,"GEORGE W. BUSH","REPUBLICAN",5463,"65.1",1
2000,"GEORGIA","GA","FAYETTE",13113,42449,"GEORGE W. BUSH","REPUBLICAN",29338,"69.1",1
2000,"GEORGIA","GA","FLOYD",13115,26825,"GEORGE W. BUSH","REPUBLICAN",16194,"60.4",1
2000,"GEORGIA","GA","FORSYTH",13117,35755,"GEORGE W. BUSH","REPUBLICAN",27769,"77.7",1
2000,"GEORGIA","GA","FRANKLIN",13119,5762,"GEORGE W. BUSH","REPUBLICAN",3659,"63.5",1
2000,"GEORGIA","GA","FULTON",13121,263212,"AL GORE","DEMOCRAT",152039,"57.8",1
2000,"GEORGIA","GA","GILMER",13123,7370,"GEORGE W. BUSH","REPUBLICAN",4941,"67.0",1
2000,"GEORGIA","GA","GLASCOCK",13125,1020,"GEORGE W. BUSH","REPUBLICAN",763,"74.8",1
2000,"GEORGIA","GA","GLYNN",13127,22384,"GEORGE W. BUSH","REPUBLICAN",14346,"64.1",1
2000,"GEORGIA","GA","GORDON",13129,12205,"GEORGE W. BUSH","REPUBLICAN",7944,"65.1",1
2000,"GEORGIA","GA","GRADY",13131,6703,"GEORGE W. BUSH","REPUBLICAN",3894,"58.1",1
2000,"GEORGIA","GA","GREENE",13133,5197,"GEORGE W. BUSH","REPUBLICAN",2980,"57.3",1
2000,"GEORGIA","GA","GWINNETT",13135,191111,"GEORGE W. BUSH","REPUBLICAN",121756,"63.7",1
2000,"GEORGIA","GA","HABERSHAM",13137,9691,"GEORGE W. BUSH","REPUBLICAN",6964,"71.9",1
2000,"GEORGIA","GA","HALL",13139,38150,"GEORGE W. BUSH","REPUBLICAN",26841,"70.4",1
2000,"GEORGIA","GA","HANCOCK",13141,3086,"AL GORE","DEMOCRAT",2414,"78.2",1
2000,"GEORGIA","GA","HARALSON",13143,8167,"GEORGE W. BUSH","REPUBLICAN",5153,"63.1",1
2000,"GEORGIA","GA","HARRIS",13145,8562,"GEORGE W. BUSH","REPUBLICAN",5554,"64.9",1
2000,"GEORGIA","GA","HART",13147,7536,"GEORGE W. BUSH","REPUBLICAN",4242,"56.3",1
2000,"GEORGIA","GA","HEARD",13149,3198,"GEORGE W. BUSH","REPUBLICAN",1947,"60.9",1
2000,"GEORGIA","GA","HENRY",13151,38867,"GEORGE W. BUSH","REPUBLICAN",25815,"66.4",1
2000,"GEORGIA","GA","HOUSTON",13153,36988,"GEORGE W. BUSH","REPUBLICAN",23174,"62.7",1
2000,"GEORGIA","GA","IRWIN",13155,2852,"GEORGE W. BUSH","REPUBLICAN",1720,"60.3",1
2000,"GEORGIA","GA","JACKSON",13157,11635,"GEORGE W. BUSH","REPUBLICAN",7878,"67.7",1
2000,"GEORGIA","GA","JASPER",13159,3943,"GEORGE W. BUSH","REPUBLICAN",2298,"58.3",1
2000,"GEORGIA","GA","JEFF DAVIS",13161,4221,"GEORGE W. BUSH","REPUBLICAN",2797,"66.3",1
2000,"GEORGIA","GA","JEFFERSON",13163,5566,"AL GORE","DEMOCRAT",2973,"53.4",1
2000,"GEORGIA","GA","JENKINS",13165,2593,"GEORGE W. BUSH","REPUBLICAN",1317,"50.8",1
2000,"GEORGIA","GA","JOHNSON",13167,2883,"GEORGE W. BUSH","REPUBLICAN",1797,"62.3",1
2000,"GEORGIA","GA","JONES",13169,8068,"GEORGE W. BUSH","REPUBLICAN",4850,"60.1",1
2000,"GEORGIA","GA","LAMAR",13171,5230,"GEORGE W. BUSH","REPUBLICAN",2912,"55.7",1
2000,"GEORGIA","GA","LANIER",13173,1904,"GEORGE W. BUSH","REPUBLICAN",1048,"55.0",1
2000,"GEORGIA","GA","LAURENS",13175,14036,"GEORGE W. BUSH","REPUBLICAN",8133,"57.9",1
2000,"GEORGIA","GA","LEE",13177,7884,"GEORGE W. BUSH","REPUBLICAN",5872,"74.5",1
2000,"GEORGIA","GA","LIBERTY",13179,9972,"AL GORE","DEMOCRAT",5347,"53.6",1
2000,"GEORGIA","GA","LINCOLN",13181,3103,"GEORGE W. BUSH","REPUBLICAN",1807,"58.2",1
2000,"GEORGIA","GA","LONG",13183,2314,"GEORGE W. BUSH","REPUBLICAN",1320,"57.0",1
2000,"GEORGIA","GA","LOWNDES",13185,25432,"GEORGE W. BUSH","REPUBLICAN",14462,"56.9",1
2000,"GEORGIA","GA","LUMPKIN",13187,6750,"GEORGE W. BUSH","REPUBLICAN",4427,"65.6",1
2000,"GEORGIA","GA","MACON",13193,4355,"AL GORE","DEMOCRAT",2757,"63.3",1
2000,"GEORGIA","GA","MADISON",13195,7993,"GEORGE W. BUSH","REPUBLICAN",5529,"69.2",1
2000,"GEORGIA","GA","MARION",13197,2184,"GEORGE W. BUSH","REPUBLICAN",1187,"54.3",1
2000,"GEORGIA","GA","MCDUFFIE",13189,6550,"GEORGE W. BUSH","REPUBLICAN",3926,"59.9",1
2000,"GEORGIA","GA","MCINTOSH",13191,3837,"AL GORE","DEMOCRAT",2047,"53.3",1
2000,"GEORGIA","GA","MERIWETHER",13199,6709,"AL GORE","DEMOCRAT",3441,"51.3",1
2000,"GEORGIA","GA","MILLER",13201,2150,"GEORGE W. BUSH","REPUBLICAN",1349,"62.7",1
2000,"GEORGIA","GA","MITCHELL",13205,5799,"AL GORE","DEMOCRAT",2971,"51.2",1
2000,"GEORGIA","GA","MONROE",13207,7541,"GEORGE W. BUSH","REPUBLICAN",4561,"60.5",1
2000,"GEORGIA","GA","MONTGOMERY",13209,2509,"GEORGE W. BUSH","REPUBLICAN",1465,"58.4",1
2000,"GEORGIA","GA","MORGAN",13211,5902,"GEORGE W. BUSH","REPUBLICAN",3524,"59.7",1
2000,"GEORGIA","GA","MURRAY",13213,8372,"GEORGE W. BUSH","REPUBLICAN",5539,"66.2",1
2000,"GEORGIA","GA","MUSCOGEE",13215,52163,"AL GORE","DEMOCRAT",28193,"54.0",1
2000,"GEORGIA","GA","NEWTON",13217,18375,"GEORGE W. BUSH","REPUBLICAN",11127,"60.6",1
2000,"GEORGIA","GA","OCONEE",13219,11168,"GEORGE W. BUSH","REPUBLICAN",7611,"68.2",1
2000,"GEORGIA","GA","OGLETHORPE",13221,4385,"GEORGE W. BUSH","REPUBLICAN",2706,"61.7",1
2000,"GEORGIA","GA","PAULDING",13223,24260,"GEORGE W. BUSH","REPUBLICAN",16881,"69.6",1
2000,"GEORGIA","GA","PEACH",13225,7137,"AL GORE","DEMOCRAT",3540,"49.6",1
2000,"GEORGIA","GA","PICKENS",13227,8201,"GEORGE W. BUSH","REPUBLICAN",5488,"66.9",1
2000,"GEORGIA","GA","PIERCE",13229,4681,"GEORGE W. BUSH","REPUBLICAN",3348,"71.5",1
2000,"GEORGIA","GA","PIKE",13231,4885,"GEORGE W. BUSH","REPUBLICAN",3358,"68.7",1
2000,"GEORGIA","GA","POLK",13233,10116,"GEORGE W. BUSH","REPUBLICAN",5841,"57.7",1
2000,"GEORGIA","GA","PULASKI",13235,3346,"GEORGE W. BUSH","REPUBLICAN",1922,"57.4",1
2000,"GEORGIA","GA","PUTNAM",13237,6299,"GEORGE W. BUSH","REPUBLICAN",3596,"57.1",1
2000,"GEORGIA","GA","QUITMAN",13239,904,"AL GORE","DEMOCRAT",542,"60.0",1
2000,"GEORGIA","GA","RABUN",13241,5341,"GEORGE W. BUSH","REPUBLICAN",3451,"64.6",1
2000,"GEORGIA","GA","RANDOLPH",13243,2569,"AL GORE","DEMOCRAT",1381,"53.8",1
2000,"GEORGIA","GA","RICHMOND",13245,57538,"AL GORE","DEMOCRAT",31413,"54.6",1
2000,"GEORGIA","GA","ROCKDALE",13247,24649,"GEORGE W. BUSH","REPUBLICAN",15440,"62.6",1
2000,"GEORGIA","GA","SCHLEY",13249,1176,"GEORGE W. BUSH","REPUBLICAN",706,"60.0",1
2000,"GEORGIA","GA","SCREVEN",13251,4719,"GEORGE W. BUSH","REPUBLICAN",2461,"52.2",1
2000,"GEORGIA","GA","SEMINOLE",13253,2877,"GEORGE W. BUSH","REPUBLICAN",1537,"53.4",1
2000,"GEORGIA","GA","SPALDING",13255,15391,"GEORGE W. BUSH","REPUBLICAN",9271,"60.2",1
2000,"GEORGIA","GA","STEPHENS",13257,8376,"GEORGE W. BUSH","REPUBLICAN",5370,"64.1",1
2000,"GEORGIA","GA","STEWART",13259,1954,"AL GORE","DEMOCRAT",1267,"64.8",1
2000,"GEORGIA","GA","SUMTER",13261,9697,"GEORGE W. BUSH","REPUBLICAN",4847,"50.0",1
2000,"GEORGIA","GA","TALBOT",13263,2531,"AL GORE","DEMOCRAT",1662,"65.7",1
2000,"GEORGIA","GA","TALIAFERRO",13265,832,"AL GORE","DEMOCRAT",556,"66.8",1
2000,"GEORGIA","GA","TATTNALL",13267,5610,"GEORGE W. BUSH","REPUBLICAN",3597,"64.1",1
2000,"GEORGIA","GA","TAYLOR",13269,2780,"GEORGE W. BUSH","REPUBLICAN",1412,"50.8",1
2000,"GEORGIA","GA","TELFAIR",13271,3493,"AL GORE","DEMOCRAT",1777,"50.9",1
2000,"GEORGIA","GA","TERRELL",13273,3113,"AL GORE","DEMOCRAT",1584,"50.9",1
2000,"GEORGIA","GA","THOMAS",13275,12058,"GEORGE W. BUSH","REPUBLICAN",7093,"58.8",1
2000,"GEORGIA","GA","TIFT",13277,10328,"GEORGE W. BUSH","REPUBLICAN",6678,"64.7",1
2000,"GEORGIA","GA","TOOMBS",13279,7210,"GEORGE W. BUSH","REPUBLICAN",4487,"62.2",1
2000,"GEORGIA","GA","TOWNS",13281,4497,"GEORGE W. BUSH","REPUBLICAN",2902,"64.5",1
